SBOID;SAID;DescriptionDE;DescriptionFR;DescriptionIT;DescriptionEN;AbbreviationDE;AbbreviationFR;AbbreviationIT;AbbreviationEN;OrganisationNumber;ContactEnterpriseMail;validFrom;validTo;types
ch:1:sboid:100361;100361;Tarifverbund Nordwestschweiz und Ticket TriRegio;Tarifverbund Nordwestschweiz und Ticket TriRegio;Tarifverbund Nordwestschweiz und Ticket TriRegio;Tarifverbund Nordwestschweiz und Ticket TriRegio;TNW TTR;TNW TTR;TNW TTR;TNW TTR;440;;1900-01-01;2099-12-31;51
ch:1:sboid:100778;100778;Fahrvergünstigung für das Personal;Fahrvergünstigung für das Personal;Fahrvergünstigung für das Personal;Fahrvergünstigung für das Personal;FVP;FVP;FVP;FVP;979;;1900-01-01;2018-11-28;95
ch:1:sboid:101190;101190;Comune di Personico;Comune di Personico;Comune di Personico;Comune di Personico;BPB-bpb;BPB-bpb;BPB-bpb;BPB-bpb;7057;;2020-12-07;2099-12-31;32
ch:1:sboid:101190;101190;Bus Personico-Bodio;Bus Personico-Bodio;Bus Personico-Bodio;Bus Personico-Bodio;BPB;BPB;BPB;BPB;7057;;1900-01-01;2020-12-06;32
ch:1:sboid:100111;100111;Bus Ostschweiz (Rheintal);Bus Ostschweiz (Rheintal);Bus Ostschweiz (Rheintal);Bus Ostschweiz (Rheintal);BOS/rtb;BOS/rtb;BOS/rtb;BOS/rtb;138;;1900-01-01;2099-12-31;30
ch:1:sboid:100625;100625;Bus Ostschweiz (Wil);Bus Ostschweiz (Wil);Bus Ostschweiz (Wil);Bus Ostschweiz (Wil);BOS/wimo;BOS/wimo;BOS/wimo;BOS/wimo;826;;1900-01-01;2099-12-31;30
ch:1:sboid:101713;101713;Movi+ OpenIT SA;Movi+ OpenIT SA;Movi+ OpenIT SA;Movi+ OpenIT SA;TL-T;TL-T;TL-T;TL-T;906;;2018-09-04;2099-12-31;
ch:1:sboid:100336;100336;Auszahlungen an Dritte 1 (8,0 % MWSt);Auszahlungen an Dritte 1 (8,0 % MWSt);Auszahlungen an Dritte 1 (8,0 % MWSt);Auszahlungen an Dritte 1 (8,0 % MWSt);Dri 8.0%;Dri 8.0%;Dri 8.0%;Dri 8.0%;405;;1900-01-01;2019-07-04;95
ch:1:sboid:100336;100336;Auszahlungen an Dritte 1 (7,7 % MWSt);Auszahlungen an Dritte 1 (7,7 % MWSt);Auszahlungen an Dritte 1 (7,7 % MWSt);Auszahlungen an Dritte 1 (7,7 % MWSt);Dri 7.7%;Dri 7.7%;Dri 7.7%;Dri 7.7%;405;;2019-07-05;2099-12-31;95
ch:1:sboid:100774;100774;RailAway Spezialleistungen 1 (7,7 % MWSt);RailAway Spezialleistungen 1 (7,7 % MWSt);RailAway Spezialleistungen 1 (7,7 % MWSt);RailAway Spezialleistungen 1 (7,7 % MWSt);RAW 7.7%;RAW 7.7%;RAW 7.7%;RAW 7.7%;975;;2019-07-05;2099-12-31;50
ch:1:sboid:100795;100795;RailAway Spezialleistungen 4 (3,8 % MWSt);RailAway Spezialleistungen 4 (3,8 % MWSt);RailAway Spezialleistungen 4 (3,8 % MWSt);RailAway Spezialleistungen 4 (3,8 % MWSt);RAW 3.8%;RAW 3.8%;RAW 3.8%;RAW 3.8%;996;;1900-01-01;2019-07-04;50
ch:1:sboid:100611;100611;Auto AG Rothenburg;Auto AG Rothenburg;Auto AG Rothenburg;Auto AG Rothenburg;AAGR;AAGR;AAGR;AAGR;812;rothenburg@autoag.ch;1900-01-01;2099-12-31;30
ch:1:sboid:101125;101125;Sportbahnen Melchsee-Frutt (lsm) INFO+;Sportbahnen Melchsee-Frutt (lsm) INFO+;Sportbahnen Melchsee-Frutt (lsm) INFO+;Sportbahnen Melchsee-Frutt (lsm) INFO+;SMF-lsmFpl;SMF-lsmFpl;SMF-lsmFpl;SMF-lsmFpl;3222;;1900-01-01;2019-08-25;12
ch:1:sboid:101125;101125;Sportbahnen Melchsee-Frutt (lsm);Sportbahnen Melchsee-Frutt (lsm);Sportbahnen Melchsee-Frutt (lsm);Sportbahnen Melchsee-Frutt (lsm);SMF-lsmFpl;SMF-lsmFpl;SMF-lsmFpl;SMF-lsmFpl;3222;;2019-08-26;2099-12-31;12
ch:1:sboid:100161;100161;Engelberg-Brunni;Engelberg-Brunni;Engelberg-Brunni;Engelberg-Brunni;EB;EB;EB;EB;203;;1900-01-01;2020-07-09;10
ch:1:sboid:100632;100632;Automobiles CJ;Automobiles CJ;Automobiles CJ;Automobiles CJ;CJ Auto;CJ Auto;CJ Auto;CJ Auto;833;;1900-01-01;2099-12-31;30
ch:1:sboid:101816;101816;Alpbus Fournier;Alpbus Fournier;Alpbus Fournier;Alpbus Fournier;AFO;AFO;AFO;AFO;611;;2021-07-29;2099-12-31;30
ch:1:sboid:100680;100680;Transports Publics Genevois;Transports Publics Genevois;Transports Publics Genevois;Transports Publics Genevois;TPG;TPG;TPG;TPG;881;didok@tpg.ch;1900-01-01;2099-12-31;30
ch:1:sboid:101753;101753;MEV Schweiz AG;MEV Schweiz AG;MEV Schweiz AG;MEV Schweiz AG;MEV;MEV;MEV;MEV;510;;2019-01-17;2099-12-31;95
ch:1:sboid:101099;101099;ebs Energie AG;ebs Energie AG;ebs Energie AG;ebs Energie AG;EBS;EBS;EBS;EBS;3162;;2021-08-10;2099-12-31;12
ch:1:sboid:100150;100150;Basler Personenschifffahrts-Gesellschaft;Basler Personenschifffahrts-Gesellschaft;Basler Personenschifffahrts-Gesellschaft;Basler Personenschifffahrts-Gesellschaft;BPG;BPG;BPG;BPG;191;;1900-01-01;2021-08-31;20
ch:1:sboid:100150;100150;Basler Personenschifffahrt AG;Basler Personenschifffahrt AG;Basler Personenschifffahrt AG;Basler Personenschifffahrt AG;BPG;BPG;BPG;BPG;191;;2021-09-01;2099-12-31;20
ch:1:sboid:101132;101132;Trasporti Pubblici Luganesi SA;Trasporti Pubblici Luganesi SA;Trasporti Pubblici Luganesi SA;Trasporti Pubblici Luganesi SA;TPL    Fpl;TPL    Fpl;TPL    Fpl;TPL    Fpl;3955;;2020-09-04;2099-12-31;32
ch:1:sboid:100090;100090;Cassarate-Monte Brè;Cassarate-Monte Brè;Cassarate-Monte Brè;Cassarate-Monte Brè;FMB;FMB;FMB;FMB;116;;1900-01-01;2020-09-03;10
ch:1:sboid:100090;100090;Società Funicolare Cassarate-Monte Brè;Società Funicolare Cassarate-Monte Brè;Società Funicolare Cassarate-Monte Brè;Società Funicolare Cassarate-Monte Brè;FMB;FMB;FMB;FMB;116;;2020-09-04;2099-12-31;10
ch:1:sboid:101132;101132;Trasporti Pubblici Luganesi;Trasporti Pubblici Luganesi;Trasporti Pubblici Luganesi;Trasporti Pubblici Luganesi;TPL    Fpl;TPL    Fpl;TPL    Fpl;TPL    Fpl;3955;;2020-08-18;2020-09-03;12
ch:1:sboid:101185;101185;Gemeinde Surses – Cumegn Surses;Gemeinde Surses – Cumegn Surses;Gemeinde Surses – Cumegn Surses;Gemeinde Surses – Cumegn Surses;GSUR;GSUR;GSUR;GSUR;7052;;2019-10-01;2099-12-31;32
ch:1:sboid:100209;100209;Andermatt Gotthard Sportbahnen;Andermatt Gotthard Sportbahnen;Andermatt Gotthard Sportbahnen;Andermatt Gotthard Sportbahnen;AGS;AGS;AGS;AGS;251;;1900-01-01;2018-12-08;10
ch:1:sboid:100879;100879;Nationalgesellschaft der Belgischen Eisenbahnen;Société Nationale des Chemins de fer belges;Nationalgesellschaft der Belgischen Eisenbahnen;Belgian National Railway Company;SNCB;SNCB;SNCB;SNCB;1088;;1900-01-01;2099-12-31;11
ch:1:sboid:100650;100650;Automobildienst Matterhorn Gotthard Bahn (fo auto);Automobildienst Matterhorn Gotthard Bahn (fo auto);Automobildienst Matterhorn Gotthard Bahn (fo auto);Automobildienst Matterhorn Gotthard Bahn (fo auto);MGB/Autofo;MGB/Autofo;MGB/Autofo;MGB/Autofo;851;;1900-01-01;2099-12-31;30
ch:1:sboid:100440;100440;Emmentalbahn GmbH;Emmentalbahn GmbH;Emmentalbahn GmbH;Emmentalbahn GmbH;ETB;ETB;ETB;ETB;528;;1900-01-01;2099-12-31;95
ch:1:sboid:100290;100290;Sedrun Pendicularas SA;Sedrun Pendicularas SA;Sedrun Pendicularas SA;Sedrun Pendicularas SA;ASS-psr;ASS-psr;ASS-psr;ASS-psr;333;;2018-12-09;2099-12-31;10
ch:1:sboid:100034;100034;Transports publics fribourgeois;Transports publics fribourgeois;Transports publics fribourgeois;Transports publics fribourgeois;TPF;TPF;TPF;TPF;53;;1900-01-01;2099-12-31;10
ch:1:sboid:100168;100168;Funivia Monte Lema SA;Funivia Monte Lema SA;Funivia Monte Lema SA;Funivia Monte Lema SA;FML;FML;FML;FML;210;info@montelema.ch;1900-01-01;2099-12-31;10
ch:1:sboid:100550;100550;Verkehrsverbund Tirol GesmbH;Verkehrsverbund Tirol GesmbH;Verkehrsverbund Tirol GesmbH;Verkehrsverbund Tirol GesmbH;VVTIROL;VVTIROL;VVTIROL;VVTIROL;748;;1900-01-01;2099-12-31;30
ch:1:sboid:100754;100754;Trasporti Pubblici Luganesi SA;Trasporti Pubblici Luganesi SA;Trasporti Pubblici Luganesi SA;Trasporti Pubblici Luganesi SA;TPL;TPL;TPL;TPL;955;info@tplsa.ch;2021-10-12;2099-12-31;30
ch:1:sboid:100012;100012;Transports de la région Morges-Bière-Cossonay;Transports de la région Morges-Bière-Cossonay;Transports de la région Morges-Bière-Cossonay;Transports de la région Morges-Bière-Cossonay;MBC;MBC;MBC;MBC;29;;1900-01-01;2099-12-31;10
ch:1:sboid:100538;100538;Autolinea Mendrisiense SA;Autolinea Mendrisiense SA;Autolinea Mendrisiense SA;Autolinea Mendrisiense SA;AMSA;AMSA;AMSA;AMSA;736;;1900-01-01;2099-12-31;30
ch:1:sboid:101767;101767;Alsa Bustours Gex S.A.S;Alsa Bustours Gex S.A.S;Alsa Bustours Gex S.A.S;Alsa Bustours Gex S.A.S;ABG;ABG;ABG;ABG;700;;2019-09-09;2099-12-31;
ch:1:sboid:100077;100077;Verkehrsbetriebe Biel;Verkehrsbetriebe Biel;Verkehrsbetriebe Biel;Verkehrsbetriebe Biel;VB-be;VB-be;VB-be;VB-be;101;;1900-01-01;2021-06-02;10
ch:1:sboid:100688;100688;Verkehrsbetriebe der Stadt Biel;Verkehrsbetriebe der Stadt Biel;Verkehrsbetriebe der Stadt Biel;Verkehrsbetriebe der Stadt Biel;VB;VB;VB;VB;889;;1900-01-01;2021-06-02;30
ch:1:sboid:100579;100579;Busbetrieb Wollerau-Samstagern;Busbetrieb Wollerau-Samstagern;Busbetrieb Wollerau-Samstagern;Busbetrieb Wollerau-Samstagern;BWS;BWS;BWS;BWS;777;;1900-01-01;2099-12-31;30
ch:1:sboid:100695;100695;Regiobus Gossau SG;Regiobus Gossau SG;Regiobus Gossau SG;Regiobus Gossau SG;REGO;REGO;REGO;REGO;896;;1900-01-01;2099-12-31;30
ch:1:sboid:100516;100516;Bus Sierrois;Bus Sierrois;Bus Sierrois;Bus Sierrois;BS;BS;BS;BS;714;;1900-01-01;2099-12-31;30
ch:1:sboid:100508;100508;Automobildienst SAD AG;Automobildienst SAD AG;Automobildienst SAD AG;Automobildienst SAD AG;SAD Auto;SAD Auto;SAD Auto;SAD Auto;704;;1900-01-01;2021-12-11;30
ch:1:sboid:101756;101756;Transports Vallée de Joux-Yverdon-Ste-Croix (oc/bus);Transports Vallée de Joux-Yverdon-Ste-Croix (oc/bus);Transports Vallée de Joux-Yverdon-Ste-Croix (oc/bus);Transports Vallée de Joux-Yverdon-Ste-Croix (oc/bus);TRAVYS/oc;TRAVYS/oc;TRAVYS/oc;TRAVYS/oc;9020;;2019-02-20;2099-12-31;70
ch:1:sboid:100133;100133;Locarno-Madonna del Sasso;Locarno-Madonna del Sasso;Locarno-Madonna del Sasso;Locarno-Madonna del Sasso;FLMS;FLMS;FLMS;FLMS;163;;1900-01-01;2020-08-19;12
ch:1:sboid:100694;100694;Transports Vallée de Joux-Yverdon-Ste-Croix (tpyg);Transports Vallée de Joux-Yverdon-Ste-Croix (tpyg);Transports Vallée de Joux-Yverdon-Ste-Croix (tpyg);Transports Vallée de Joux-Yverdon-Ste-Croix (tpyg);TRAVYS/tpy;TRAVYS/tpy;TRAVYS/tpy;TRAVYS/tpy;895;;1900-01-01;2019-12-14;30
ch:1:sboid:100655;100655;Autobetrieb Sernftal;Autobetrieb Sernftal;Autobetrieb Sernftal;Autobetrieb Sernftal;AS;AS;AS;AS;856;info@sernftalbus.ch;1900-01-01;2099-12-31;30
ch:1:sboid:100074;100074;Transports Vallée de Joux-Yverdon-Ste-Croix (ystec);Transports Vallée de Joux-Yverdon-Ste-Croix (ystec);Transports Vallée de Joux-Yverdon-Ste-Croix (ystec);Transports Vallée de Joux-Yverdon-Ste-Croix (ystec);TRAVYS-ysc;TRAVYS-ysc;TRAVYS-ysc;TRAVYS-ysc;97;;1900-01-01;2019-12-14;10
ch:1:sboid:100074;100074;Transports Vallée de Joux-Yverdon-Ste-Croix;Transports Vallée de Joux-Yverdon-Ste-Croix;Transports Vallée de Joux-Yverdon-Ste-Croix;Transports Vallée de Joux-Yverdon-Ste-Croix;TRAVYS;TRAVYS;TRAVYS;TRAVYS;97;;2019-12-15;2099-12-31;10
ch:1:sboid:100914;100914;CD VBG (Vogtlandbahn);CD VBG (Vogtlandbahn);CD VBG (Vogtlandbahn);CD VBG (Vogtlandbahn);CD VBG   $;CD VBG   $;CD VBG   $;CD VBG   $;1854;;1900-01-01;2019-08-31;95
ch:1:sboid:100905;100905;CD RBG (Regentalbahn);CD RBG (Regentalbahn);CD RBG (Regentalbahn);CD RBG (Regentalbahn);CD RBG   $;CD RBG   $;CD RBG   $;CD RBG   $;1754;;1900-01-01;2019-08-31;95
ch:1:sboid:100900;100900;DB-RIT;DB-RIT;DB-RIT;DB-RIT;DB-RIT   $;DB-RIT   $;DB-RIT   $;DB-RIT   $;1680;;1900-01-01;2019-08-31;95
ch:1:sboid:100616;100616;Autolinee FART;Autolinee FART;Autolinee FART;Autolinee FART;FART Auto;FART Auto;FART Auto;FART Auto;817;fart@centovalli.ch;1900-01-01;2099-12-31;30
ch:1:sboid:101809;101809;SBB NMD P+R;SBB NMD P+R;SBB NMD P+R;SBB NMD P+R;SBB (NMD);SBB (NMD);SBB (NMD);SBB (NMD);566;;2020-08-18;2099-12-31;95
ch:1:sboid:100306;100306;LTB Lungern-Turren-Bahn AG;LTB Lungern-Turren-Bahn AG;LTB Lungern-Turren-Bahn AG;LTB Lungern-Turren-Bahn AG;LTBAG;LTBAG;LTBAG;LTBAG;349;;2020-08-18;2099-12-31;45
ch:1:sboid:100339;100339;Auszahlungen an Dritte 4 (3,8 % MWSt);Auszahlungen an Dritte 4 (3,8 % MWSt);Auszahlungen an Dritte 4 (3,8 % MWSt);Auszahlungen an Dritte 4 (3,8 % MWSt);Dri 3.8%;Dri 3.8%;Dri 3.8%;Dri 3.8%;408;;1900-01-01;2019-07-04;95
ch:1:sboid:100339;100339;Auszahlungen an Dritte 4 (3,7 % MWSt);Auszahlungen an Dritte 4 (3,7 % MWSt);Auszahlungen an Dritte 4 (3,7 % MWSt);Auszahlungen an Dritte 4 (3,7 % MWSt);Dri 3.7%;Dri 3.7%;Dri 3.7%;Dri 3.7%;408;;2019-07-05;2099-12-31;95
ch:1:sboid:100774;100774;RailAway Spezialleistungen 1 (8,0 % MWSt);RailAway Spezialleistungen 1 (8,0 % MWSt);RailAway Spezialleistungen 1 (8,0 % MWSt);RailAway Spezialleistungen 1 (8,0 % MWSt);RAW 8.0%;RAW 8.0%;RAW 8.0%;RAW 8.0%;975;;1900-01-01;2019-07-04;50
ch:1:sboid:100795;100795;RailAway Spezialleistungen 4 (3,7 % MWSt);RailAway Spezialleistungen 4 (3,7 % MWSt);RailAway Spezialleistungen 4 (3,7 % MWSt);RailAway Spezialleistungen 4 (3,7 % MWSt);RAW 3.7%;RAW 3.7%;RAW 3.7%;RAW 3.7%;996;;2019-07-05;2099-12-31;50
ch:1:sboid:100049;100049;Oensingen-Balsthal-Bahn;Oensingen-Balsthal-Bahn;Oensingen-Balsthal-Bahn;Oensingen-Balsthal-Bahn;OeBB;OeBB;OeBB;OeBB;68;info@oebb.ch;1900-01-01;2099-12-31;10
ch:1:sboid:101813;101813;Transdev Haute Savoie, SARL;Transdev Haute Savoie, SARL;Transdev Haute Savoie, SARL;Transdev Haute Savoie, SARL;TDEV74;TDEV74;TDEV74;TDEV74;610;;2020-12-08;2099-12-31;30
ch:1:sboid:100688;100688;Verkehrsbetriebe Biel;Transports publics biennois;Verkehrsbetriebe Biel;Verkehrsbetriebe Biel;VB;VB;VB;VB;889;;2021-06-03;2099-12-31;30
ch:1:sboid:100077;100077;Verkehrsbetriebe Biel;Transports publics biennois;Verkehrsbetriebe Biel;Verkehrsbetriebe Biel;VB-be;VB-be;VB-be;VB-be;101;;2021-06-03;2099-12-31;10
ch:1:sboid:100078;100078;Verkehrsbetriebe Biel;Verkehrsbetriebe Biel;Verkehrsbetriebe Biel;Verkehrsbetriebe Biel;VB-bm;VB-bm;VB-bm;VB-bm;103;;1900-01-01;2021-06-02;10
ch:1:sboid:100078;100078;Verkehrsbetriebe Biel;Transports publics biennois;Verkehrsbetriebe Biel;Verkehrsbetriebe Biel;VB-bm;VB-bm;VB-bm;VB-bm;103;;2021-06-03;2099-12-31;10
ch:1:sboid:101765;101765;Swiss Smart Mobility;Swiss Smart Mobility;Swiss Smart Mobility;Swiss Smart Mobility;SSMO;SSMO;SSMO;SSMO;561;;2019-08-12;2099-12-31;95
ch:1:sboid:1017661;1017661;SBB_Online_CityBundle;SBB_Online_CityBundle;SBB_Online_CityBundle;SBB_Online_CityBundle;SOCB;SOCB;SOCB;SOCB;563;;2019-08-12;2099-12-31;95
ch:1:sboid:1;1;Systemaufgaben Kundeninformation;Systemaufgaben Kundeninformation;Systemaufgaben Kundeninformation;Systemaufgaben Kundeninformation;SKI;SKI;SKI;SKI;90000;;2019-01-24;2099-12-31;70
ch:1:sboid:100942;100942;Tschentenbahnen Adelboden;Tschentenbahnen Adelboden;Tschentenbahnen Adelboden;Tschentenbahnen Adelboden;TBA;TBA;TBA;TBA;3001;;1900-01-01;2021-10-14;12
ch:1:sboid:101013;101013;Luftseilbahn Elsigbach-Elsigenalp;Luftseilbahn Elsigbach-Elsigenalp;Luftseilbahn Elsigbach-Elsigenalp;Luftseilbahn Elsigbach-Elsigenalp;LEE;LEE;LEE;LEE;3072;;1900-01-01;2021-10-14;12
ch:1:sboid:100269;100269;Grindelwald Grund-Männlichen;Grindelwald Grund-Männlichen;Grindelwald Grund-Männlichen;Grindelwald Grund-Männlichen;GGM;GGM;GGM;GGM;312;;1900-01-01;2021-12-11;10
ch:1:sboid:100269;100269;Gondelbahn Grindelwald-Männlichen AG;Gondelbahn Grindelwald-Männlichen AG;Gondelbahn Grindelwald-Männlichen AG;Gondelbahn Grindelwald-Männlichen AG;GGM;GGM;GGM;GGM;312;;2021-12-12;2099-12-31;10
ch:1:sboid:101073;101073;Bergbahnen Malbun AG;Bergbahnen Malbun AG;Bergbahnen Malbun AG;Bergbahnen Malbun AG;BBMAG-sms;BBMAG-sms;BBMAG-sms;BBMAG-sms;3133;;1900-01-01;2018-01-08;12
ch:1:sboid:100016;100016;BLS AG (bn);BLS AG (bn);BLS AG (bn);BLS AG (bn);BLS-bn;BLS-bn;BLS-bn;BLS-bn;34;;1900-01-01;2099-12-31;10
ch:1:sboid:100056;100056;BLS AG (sez);BLS AG (sez);BLS AG (sez);BLS AG (sez);BLS-sez;BLS-sez;BLS-sez;BLS-sez;76;;1900-01-01;2099-12-31;10
ch:1:sboid:100015;100015;BLS AG (bls);BLS AG (bls);BLS AG (bls);BLS AG (bls);BLS-bls;BLS-bls;BLS-bls;BLS-bls;33;;1900-01-01;2099-12-31;10
ch:1:sboid:100026;100026;BLS AG (ebt);BLS AG (ebt);BLS AG (ebt);BLS AG (ebt);BLS-ebt;BLS-ebt;BLS-ebt;BLS-ebt;45;;1900-01-01;2099-12-31;10
ch:1:sboid:100033;100033;BLS AG (gbs);BLS AG (gbs);BLS AG (gbs);BLS AG (gbs);BLS-gbs;BLS-gbs;BLS-gbs;BLS-gbs;52;;1900-01-01;2099-12-31;10
ch:1:sboid:100017;100017;Berner Oberland-Bahnen;Berner Oberland-Bahnen;Berner Oberland-Bahnen;Berner Oberland-Bahnen;BOB;BOB;BOB;BOB;35;;1900-01-01;2099-12-31;10
ch:1:sboid:101760;101760;TR Trans Rail AG;TR Trans Rail AG;TR Trans Rail AG;TR Trans Rail AG;TRTR;TRTR;TRTR;TRTR;531;;2019-05-23;2099-12-31;95
ch:1:sboid:101752;101752;PDS - Portes du Soleil Suisse SA;PDS - Portes du Soleil Suisse SA;PDS - Portes du Soleil Suisse SA;PDS - Portes du Soleil Suisse SA;PDS-ch;PDS-ch;PDS-ch;PDS-ch;3198;;2018-12-11;2099-12-31;45
ch:1:sboid:100306;100306;LTN Lungern-Turren-Bahn AG;LTN Lungern-Turren-Bahn AG;LTN Lungern-Turren-Bahn AG;LTN Lungern-Turren-Bahn AG;LTBAG;LTBAG;LTBAG;LTBAG;349;;1900-01-01;2020-08-17;10
ch:1:sboid:101132;101132;Trasporti Pubblici Luganesi INFO+;Trasporti Pubblici Luganesi INFO+;Trasporti Pubblici Luganesi INFO+;Trasporti Pubblici Luganesi INFO+;TPL    Fpl;TPL    Fpl;TPL    Fpl;TPL    Fpl;3955;;1900-01-01;2020-08-17;30
